gender,year,ending,counts,prop
F,1909,n,27058,0.07793404782958084
F,1909,o,619,0.0017828803165980684
F,1909,p,6,1.728155395733184e-05
F,1909,r,4568,0.01315702307951531
F,1909,s,13583,0.039122557900406404
F,1909,t,9652,0.027800259799361158
F,1909,u,281,0.0008093527770017079
F,1909,w,5,1.4401294964443202e-05
F,1909,x,6,1.728155395733184e-05
F,1909,y,37139,0.10696993873689123
F,1909,z,863,0.0024856635108628966
F,1910,a,108376,0.27338957055214724
F,1910,c,5,1.2613012592831772e-05
F,1910,d,6750,0.017027567000322895
F,1910,e,133569,0.3369414958023894
F,1910,g,57,0.00014378834355828222
F,1910,h,20427,0.051529201646754924
F,1910,i,605,0.0015261745237326446
F,1910,k,48,0.00012108492089118501
F,1910,l,17121,0.043189477720374556
F,1910,m,476,0.0012007587988375847
F,1910,n,31412,0.07923999031320633
F,1910,o,658,0.0016598724572166612
F,1910,p,7,1.765821762996448e-05
F,1910,r,5308,0.013389974168550211
F,1910,s,15477,0.039042319179851466
F,1910,t,10877,0.027438347594446237
F,1910,u,271,0.000683625282531482
F,1910,w,8,2.0180820148530835e-05
F,1910,x,6,1.5135615111398127e-05
F,1910,y,43991,0.11097180739425251
F,1910,z,967,0.0024393566354536647
F,1911,a,113117,0.27049834999282607
F,1911,b,5,1.1956573724233583e-05
F,1911,d,7509,0.017956382419053996
F,1911,e,136484,0.3263762016356593
F,1911,g,83,0.00019847912382227749
F,1911,h,22047,0.05272131617963557
F,1911,i,712,0.0017026160983308622
F,1911,k,44,0.00010521784877325553
F,1911,l,17392,0.041589746042374094
F,1911,m,590,0.001410875699459563
F,1911,n,35024,0.08375340762351141
F,1911,o,746,0.0017839207996556505
F,1911,r,5805,0.013881582093835191
F,1911,s,17185,0.04109474389019083
F,1911,t,12397,0.02964512889186475
F,1911,u,258,0.0006169592041704529
F,1911,w,11,2.6304462193313886e-05
F,1911,x,6,1.4347888469080301e-05
F,1911,y,47795,0.11429288822994883
F,1911,z,970,0.002319575302501315
F,1912,a,149133,0.2672926610256677
F,1912,d,10518,0.018851523195188003
F,1912,e,180466,0.323451129962236
F,1912,g,89,0.00015951564597563533
F,1912,h,30185,0.05410089633454553
F,1912,i,1019,0.0018263645308895776
F,1912,k,65,0.00011650019088108198
F,1912,l,22563,0.040439904720766966
F,1912,m,859,0.0015395948302592219
F,1912,n,47794,0.08566169419954511
F,1912,o,995,0.0017833490757950242
F,1912,r,8259,0.014802693484413171
F,1912,s,23251,0.04167301443347749
F,1912,t,16668,0.029874233563167298
F,1912,u,358,0.0006416472051604207
F,1912,w,25,4.480776572349307e-05
F,1912,x,13,2.3300038176216397e-05
F,1912,y,64378,0.11538537366988147
F,1912,z,1301,0.002331796128250579
F,1913,a,166038,0.2659514317245886
F,1913,b,5,8.008751964146419e-06
F,1913,d,11907,0.019072041927418282
F,1913,e,199255,0.31915677452319896
F,1913,g,122,0.00019541354792517262
F,1913,h,33661,0.053916519973026523
F,1913,i,1026,0.0016433959030428453
F,1913,k,64,0.00010251202514107417
F,1913,l,24350,0.03900262206539306
F,1913,m,1060,0.001697855416399041
F,1913,n,55402,0.08874017526352798
F,1913,o,1285,0.00205824925478563
F,1913,p,8,1.2814003142634271e-05
F,1913,r,9680,0.015504943802587467
F,1913,s,26543,0.04251526067686768
F,1913,t,19126,0.03063507801325288
F,1913,u,333,0.0005333828808121515
F,1913,w,30,4.8052511784878514e-05
F,1913,x,10,1.6017503928292838e-05
F,1913,y,72929,0.11681405439864684
F,1913,z,1483,0.002375395832565828
F,1914,a,199759,0.2623657693439247
F,1914,c,7,9.193880553103853e-06
F,1914,d,14008,0.0183982683982684
F,1914,e,242133,0.31802026856638504
F,1914,g,174,0.0002285336023200101
F,1914,h,40748,0.05351889211112512
F,1914,i,1403,0.0018427163451435295
F,1914,k,84,0.00011032656663724624
F,1914,l,28711,0.03770935779430925
F,1914,m,1211,0.0015905413356869667
F,1914,n,69756,0.0916183331231875
F,1914,o,1586,0.002083070651031816
F,1914,r,11926,0.015663745639473797
F,1914,s,33437,0.04391654057916194
F,1914,t,23612,0.031012272517126887
F,1914,u,437,0.0005739608288151978
F,1914,w,41,5.384987181103686e-05
F,1914,x,25,3.283528768965662e-05
F,1914,y,90615,0.1190147837599294
F,1914,z,1703,0.002236739797419409
F,1915,a,257348,0.26157930686789505
F,1915,c,8,8.131535721836427e-06
F,1915,d,18440,0.018743189838832962
F,1915,e,307668,0.3127266665582462
F,1915,g,235,0.000238863861828945
F,1915,h,53171,0.05404523573322058
F,1915,i,1919,0.0019505521312755127
F,1915,k,126,0.00012807168761892372
F,1915,l,36157,0.03675149213680496
F,1915,m,1712,0.001740148644472995
F,1915,n,92855,0.09438171868139017
F,1915,o,2361,0.0023998194799069754
F,1915,p,9,9.14797768706598e-06
F,1915,r,15864,0.016124835336401633
F,1915,s,44844,0.045581323488754086
F,1915,t,30673,0.03117732439948609
F,1915,u,536,0.0005448128933630405
F,1915,w,52,5.285498219193677e-05
F,1915,x,23,2.3378165200279724e-05
F,1915,y,117682,0.11961692335214429
F,1915,z,2141,0.0021762022475564735
F,1916,a,272192,0.2606581380494499
F,1916,c,5,4.7881300341202146e-06
F,1916,d,19038,0.01823128391791613
F,1916,e,324955,0.3111853590475069
F,1916,g,226,0.00021642347754223371
F,1916,h,56528,0.0541326829137495
F,1916,i,2124,0.002033997638494267
F,1916,k,157,0.00015034728307137475
F,1916,l,37994,0.036384042503272686
F,1916,m,1767,0.0016921251540580838
F,1916,n,99262,0.09505587268936815
F,1916,o,2655,0.002542497048117834
F,1916,p,7,6.7033820477683e-06
F,1916,r,16519,0.015819024006726363
F,1916,s,47977,0.04594402292939711
F,1916,t,33377,0.03196268322976608
F,1916,u,584,0.000559253587985241
F,1916,w,53,5.0754178361674275e-05
