year,gender,name,counts,prop
1997,F,Mary,6616,0.0038037613312244764
1997,M,John,21364,0.011342285477956498
1998,F,Mary,6415,0.0036337579798231554
1998,M,John,20593,0.010783504636388582
1999,F,Mary,6350,0.0035832403665852397
1999,M,John,20328,0.010597064954982804
2000,F,Mary,6174,0.0034036031665527354
2000,M,John,20066,0.0102288726830069
2001,F,Mary,5715,0.0031780297216679903
2001,M,John,18869,0.00972379255222113
2002,F,Mary,5439,0.0030311676934034345
2002,M,John,17429,0.0089889274609181
2003,F,Mary,4996,0.0027384255478221406
2003,M,John,17206,0.008723210198135404
2004,F,Mary,4792,0.0026142863767420164
2004,M,John,16429,0.008290955041919056
2005,F,Mary,4439,0.0024074104203613013
2005,M,John,15747,0.00790002433169366
2006,F,Mary,4073,0.002147676628342793
2006,M,John,15140,0.007384522937381782
2007,F,Mary,3665,0.0019119531240218521
2007,M,John,14405,0.006961486380036748
2008,F,Mary,3478,0.0018464201056993222
2008,M,John,13273,0.006530991827034261
2009,M,John,12048,0.006105325994915269
2010,M,John,11424,0.006017756173415045
